structure_id,has_cp2k_label,cp2k_energy_Ha,cp2k_max_force_ev_per_A,cp2k_warning_count,cp2k_scf_failures,cp2k_label_source,screening_600K_d_cm2_s,screening_600K_log10D,screening_700K_d_cm2_s,screening_700K_log10D,formal_600K_d_cm2_s,formal_700K_d_cm2_s,formal_800K_d_cm2_s,has_formal_transport,formal_activation_energy_eV,formal_d_tracer_300K_cm2_s,formal_sigma_ne_upper_300K_mS_cm
bulk_Li_vac_c1_s1,0,nan,nan,nan,nan,,2.528449074453878e-05,-4.5971457890776675,1.5181028819486334e-05,-4.818698795272867,nan,nan,nan,0,,,
bulk_ordered,0,nan,nan,nan,nan,,2.6017599580407203e-05,-4.584732774533566,3.357459799872872e-05,-4.473989178599054,5.362511161670425e-06,8.284503384540898e-06,1.408559762561009e-05,1,0.19743972369073073,1.139047488241793e-07,15.59288982287784
gb_Sigma3_t1,1,-5659.351330653819,nan,1,0,03_followup/results_summary.csv,5.4514583238192395e-05,-4.2634873037294,5.677682903981677e-05,-4.245828866282956,nan,nan,nan,0,,,
gb_Sigma3_t1_Li_vac_c1_s1,1,-5652.994497670531,0.497334,0,0,03_followup/followup_final_results.csv,2.6514421133000316e-05,-4.5765178500271455,2.7388228970304362e-05,-4.562436050012984,nan,nan,nan,0,,,
gb_Sigma3_t1_Li_vac_c1_s2,1,-5652.902054055952,0.49882,0,0,03_followup/followup_final_results.csv,nan,nan,nan,nan,nan,nan,nan,0,,,
gb_Sigma3_t1_Li_vac_c2_s1,1,-5645.282527673997,0.559584,0,0,03_followup/followup_final_results.csv,nan,nan,nan,nan,nan,nan,nan,0,,,
gb_Sigma3_t1_Li_vac_c2_s2,1,-5645.282613242372,0.562143,0,0,03_followup/followup_final_results.csv,nan,nan,nan,nan,nan,nan,nan,0,,,
gb_Sigma3_t2,1,-5659.35196642365,nan,1,0,03_followup/results_summary.csv,nan,nan,nan,nan,nan,nan,nan,0,,,
gb_Sigma3_t2_Li_vac_c1_s1,1,-5652.992478197963,0.530848,0,0,03_followup/followup_final_results.csv,nan,nan,nan,nan,nan,nan,nan,0,,,
gb_Sigma3_t2_Li_vac_c1_s2,1,-5652.902032666215,0.509602,0,0,03_followup/followup_final_results.csv,3.260285320551133e-05,-4.48674439142939,3.5859090269117176e-05,-4.445400732512654,nan,nan,nan,0,,,
gb_Sigma3_t2_Li_vac_c2_s1,1,-5645.282195941054,0.540745,0,0,03_followup/followup_final_results.csv,nan,nan,nan,nan,nan,nan,nan,0,,,
gb_Sigma3_t2_Li_vac_c2_s2,1,-5645.352417131551,0.524776,0,0,03_followup/followup_final_results.csv,nan,nan,nan,nan,nan,nan,nan,0,,,
gb_Sigma3_t3,1,-5661.350821909827,nan,1,0,03_followup/results_summary.csv,2.1635359231215e-05,-4.664835889425775,3.281554023479308e-05,-4.483920441656691,1.1018556729907985e-05,1.9157546475480393e-05,2.4366934536974397e-05,1,0.1660873556464215,4.5638153188913007e-07,59.78972542699769
gb_Sigma3_t3_Li_vac_c1_s1,1,-5653.742445537199,0.321875,0,0,03_followup/followup_final_results.csv,1.7703913453842998e-05,-4.751930722138316,1.674393059681828e-05,-4.7761425848056165,1.1398475416223907e-05,1.7241305955543933e-05,2.178597325472438e-05,1,0.13482689709911475,8.506132556860961e-07,111.05038091068606
gb_Sigma3_t3_Li_vac_c1_s2,1,-5653.835279385056,0.35895,0,0,03_followup/followup_final_results.csv,nan,nan,nan,nan,nan,nan,nan,0,,,
gb_Sigma3_t3_Li_vac_c2_s1,1,-5646.15871968715,0.411055,0,0,03_followup/followup_final_results.csv,nan,nan,nan,nan,nan,nan,nan,0,,,
gb_Sigma3_t3_Li_vac_c2_s2,1,-5646.194498039606,0.367908,0,0,03_followup/followup_final_results.csv,3.824806817829249e-05,-4.417390495169048,2.696972822798456e-05,-4.569123429879379,nan,nan,nan,0,,,
