structure_id,n_temperatures,temperatures_K,Ea_eV,D0_cm2_s,D_tracer_300K_cm2_s,Arrhenius_R2,li_count,cell_volume_A3,sigma_NE_upper_300K_S_m,sigma_NE_upper_300K_mS_cm
bulk_Li_vac_c1_s1,5,500/600/700/800/900,0.0911,2.6672e-05,7.8500e-07,0.1733,191,8692.26,10.6902,106.9021
bulk_Li_vac_c1_s2,5,500/600/700/800/900,0.1476,8.7376e-05,2.9015e-07,0.8747,191,8692.26,3.9513,39.5128
bulk_Li_vac_c2_s1,5,500/600/700/800/900,0.1008,4.4331e-05,8.9802e-07,0.3429,190,8692.26,12.1653,121.6528
bulk_Li_vac_c2_s2,5,500/600/700/800/900,0.2052,2.1173e-04,7.5601e-08,0.9589,190,8692.26,1.0241,10.2415
bulk_ordered,5,500/600/700/800/900,0.1862,2.1412e-04,1.5961e-07,0.9693,192,8692.26,2.1850,21.8501
gb_Sigma3_t1,5,500/600/700/800/900,0.1751,3.4452e-04,3.9358e-07,0.9480,288,13624.18,5.1562,51.5620
gb_Sigma3_t1_Li_vac_c1_s1,5,500/600/700/800/900,0.1970,5.1899e-04,2.5404e-07,0.9340,287,13624.18,3.3166,33.1662
gb_Sigma3_t1_Li_vac_c1_s2,5,500/600/700/800/900,0.1930,3.9190e-04,2.2458e-07,0.7493,287,13624.18,2.9319,29.3193
gb_Sigma3_t1_Li_vac_c2_s1,5,500/600/700/800/900,0.1767,3.7675e-04,4.0503e-07,0.9415,286,13624.18,5.2693,52.6932
gb_Sigma3_t1_Li_vac_c2_s2,5,500/600/700/800/900,0.1434,2.3797e-04,9.2724e-07,0.9008,286,13624.18,12.0633,120.6326
gb_Sigma3_t2,5,500/600/700/800/900,0.1370,2.0384e-04,1.0172e-06,0.9774,288,13624.18,13.3256,133.2557
gb_Sigma3_t2_Li_vac_c1_s1,5,500/600/700/800/900,0.1829,3.6784e-04,3.1174e-07,0.9057,287,13624.18,4.0699,40.6988
gb_Sigma3_t2_Li_vac_c1_s2,5,500/600/700/800/900,0.1858,4.7537e-04,3.6005e-07,0.9473,287,13624.18,4.7005,47.0053
gb_Sigma3_t2_Li_vac_c2_s1,5,500/600/700/800/900,0.1802,3.9405e-04,3.6974e-07,0.9476,286,13624.18,4.8103,48.1031
gb_Sigma3_t2_Li_vac_c2_s2,5,500/600/700/800/900,0.2009,5.2983e-04,2.2378e-07,0.9884,286,13624.18,2.9113,29.1134
gb_Sigma3_t3,5,500/600/700/800/900,0.1507,2.3447e-04,6.8891e-07,0.9666,288,13624.18,9.0253,90.2529
gb_Sigma3_t3_Li_vac_c1_s1,5,500/600/700/800/900,0.1888,4.0979e-04,2.7615e-07,0.9708,287,13624.18,3.6052,36.0518
gb_Sigma3_t3_Li_vac_c1_s2,5,500/600/700/800/900,0.2016,6.3576e-04,2.6144e-07,0.9532,287,13624.18,3.4132,34.1321
gb_Sigma3_t3_Li_vac_c2_s1,5,500/600/700/800/900,0.2143,7.6526e-04,1.9208e-07,0.9292,286,13624.18,2.4989,24.9887
gb_Sigma3_t3_Li_vac_c2_s2,5,500/600/700/800/900,0.1610,2.6510e-04,5.2394e-07,0.9407,286,13624.18,6.8164,68.1637
