structure_id,matrix_file,shape,max_density
bulk_Li_vac_c1_s1,density_bulk_Li_vac_c1_s1.csv,500x500,0.0770
bulk_Li_vac_c1_s2,density_bulk_Li_vac_c1_s2.csv,500x500,0.1078
bulk_Li_vac_c2_s1,density_bulk_Li_vac_c2_s1.csv,500x500,0.1394
bulk_Li_vac_c2_s2,density_bulk_Li_vac_c2_s2.csv,500x500,0.0929
bulk_ordered,density_bulk_ordered.csv,500x500,0.1379
gb_Sigma3_t1_Li_vac_c1_s1,density_gb_Sigma3_t1_Li_vac_c1_s1.csv,500x500,0.0710
gb_Sigma3_t1_Li_vac_c1_s2,density_gb_Sigma3_t1_Li_vac_c1_s2.csv,500x500,0.0592
gb_Sigma3_t1_Li_vac_c2_s1,density_gb_Sigma3_t1_Li_vac_c2_s1.csv,500x500,0.0713
gb_Sigma3_t1_Li_vac_c2_s2,density_gb_Sigma3_t1_Li_vac_c2_s2.csv,500x500,0.0594
gb_Sigma3_t1,density_gb_Sigma3_t1.csv,500x500,0.0590
gb_Sigma3_t2_Li_vac_c1_s1,density_gb_Sigma3_t2_Li_vac_c1_s1.csv,500x500,0.0592
gb_Sigma3_t2_Li_vac_c1_s2,density_gb_Sigma3_t2_Li_vac_c1_s2.csv,500x500,0.0710
gb_Sigma3_t2_Li_vac_c2_s1,density_gb_Sigma3_t2_Li_vac_c2_s1.csv,500x500,0.0713
gb_Sigma3_t2_Li_vac_c2_s2,density_gb_Sigma3_t2_Li_vac_c2_s2.csv,500x500,0.0713
gb_Sigma3_t2,density_gb_Sigma3_t2.csv,500x500,0.0590
gb_Sigma3_t3_Li_vac_c1_s1,density_gb_Sigma3_t3_Li_vac_c1_s1.csv,500x500,0.0710
gb_Sigma3_t3_Li_vac_c1_s2,density_gb_Sigma3_t3_Li_vac_c1_s2.csv,500x500,0.0710
gb_Sigma3_t3_Li_vac_c2_s1,density_gb_Sigma3_t3_Li_vac_c2_s1.csv,500x500,0.0594
gb_Sigma3_t3_Li_vac_c2_s2,density_gb_Sigma3_t3_Li_vac_c2_s2.csv,500x500,0.0594
gb_Sigma3_t3,density_gb_Sigma3_t3.csv,500x500,0.0708
